Action,Windows (CMD),PowerShell,Linux/Mac OS
List files in directory,dir,Get-ChildItem or ls,ls
List all (including hidden),dir /a,Get-ChildItem -Force,ls -a
Change directory,cd <path>,Set-Location <path>,cd <path>
Go up one directory,cd ..,cd ..,cd ..
Create a directory,mkdir <dir_name>,New-Item -ItemType Directory <dir_name>,mkdir <dir_name>
Remove a directory,rmdir <dir_name>,Remove-Item <dir_name> -Recurse,rm -r <dir_name>
Delete a file,del <file>,Remove-Item <file>,rm <file>
Copy a file,copy <source> <dest>,Copy-Item <source> <dest>,cp <source> <dest>
Move/Rename a file,move <source> <dest>,Move-Item <source> <dest>,mv <source> <dest>
Show current directory,cd,Get-Location,pwd
Show running processes,tasklist,Get-Process,ps aux
Kill a process,taskkill /F /PID <id>,Stop-Process -Id <id>,kill <id> or pkill <name>
Show system information,systeminfo,Get-ComputerInfo,uname -a or hostnamectl
Show disk usage,dir,Get-PSDrive,df -h
Check network status,ipconfig,Get-NetIPAddress,ifconfig or ip a
Test network connection,ping <website>,Test-Connection <website>,ping <website>
Show active connections,netstat -an,Get-NetTCPConnection,netstat -an
Get DNS info,nslookup <website>,Resolve-DnsName <website>,dig <website> or nslookup
View text file contents,type <file>,Get-Content <file>,cat <file>
Edit a file (basic editor),notepad <file>,notepad <file>,nano <file> or vim <file>
Search inside files,"find ""text"" <file>","Select-String ""text"" <file>","grep ""text"" <file>"
Show current user,whoami,$env:UserName,whoami
List users,net user,Get-LocalUser,cat /etc/passwd
Change file permissions,icacls <file> /grant,Set-Acl,chmod 755 <file>
Clear screen,cls,Clear-Host,clear
Exit command line,exit,exit,exit
Run as administrator,runas /user:admin,Start-Process PowerShell -Verb RunAs,sudo <command>
